Number,Cell Type,Timepoint,Treatment,M,IFNA,IFNb,IL29,Il28a,MXA,RIGI,ISG15,IFIT2,IFITM1,Rantes
1,Wildtype,12,IFNB+/IAV+,1344.83,198.13,71.39,30.13,8.49,26.01,2.81,4.33,3.10,3.67,7.65
2,Wildtype,12,IFNB+/IAV+,1401.34,205.66,81.83,18.29,20.53,65.40,6.95,13.40,10.39,5.44,14.29
3,Wildtype,12,IFNB+/IAV+,1306.73,156.77,81.35,69.23,16.31,24.55,4.63,9.91,6.27,18.67,37.66
4,Wildtype,12,IFNB+/IAV-,47.99,23.66,0.91,152.96,123.06,68.64,23.94,277.53,222.09,214.66,236.40
5,Wildtype,12,IFNB+/IAV-,194.00,166.72,8.45,70.13,110.50,37.61,15.02,145.05,160.66,103.23,260.99
6,Wildtype,12,IFNB+/IAV-,472.62,264.82,27.57,88.93,77.45,76.92,18.08,159.56,135.61,91.12,140.42
7,Wildtype,12,IFNL+/IAV+,4987.67,167.48,114.22,32.13,9.13,21.73,6.47,7.24,7.50,9.59,85.65
8,Wildtype,12,IFNL+/IAV+,6470.41,53.64,63.77,68.52,17.01,10.42,3.97,5.22,5.12,16.86,37.26
9,Wildtype,12,IFNL+/IAV+,5625.38,237.77,80.85,18.79,4.13,4.33,2.46,2.68,1.99,3.27,1.77
10,Wildtype,12,IFNL+/IAV-,50.59,92.22,1.61,168.20,223.04,50.43,39.49,344.57,553.37,252.50,295.26
11,Wildtype,12,IFNL+/IAV-,57.02,96.12,1.58,169.56,140.74,15.23,27.54,299.25,283.41,153.38,269.42
12,Wildtype,12,IFNL+/IAV-,61.68,94.85,2.78,243.59,220.50,56.22,36.92,385.65,592.29,282.31,488.51
13,IFNAR1-/-,12,IFNB+/IAV+,24467.53,57.92,11.69,55.04,19.65,40.54,9.26,47.67,5.77,47.46,13.44
14,IFNAR1-/-,12,IFNB+/IAV+,15171.42,189.52,51.10,38.21,18.85,48.47,9.31,40.19,4.87,43.50,32.21
15,IFNAR1-/-,12,IFNB+/IAV+,22455.83,128.21,6.92,20.06,10.20,11.18,5.10,33.39,3.15,26.90,9.22
16,IFNAR1-/-,12,IFNB+/IAV-,114.73,161.60,4.84,91.25,56.18,33.27,59.67,530.46,222.03,591.65,93.93
17,IFNAR1-/-,12,IFNB+/IAV-,40.70,115.64,2.56,109.52,62.18,15.95,73.82,821.53,282.96,590.83,103.34
18,IFNAR1-/-,12,IFNB+/IAV-,34.58,37.77,1.58,38.23,56.34,10.12,64.91,623.53,223.36,652.13,91.07
19,IFNAR1-/-,12,IFNL+/IAV+,7581.47,20.07,40.22,9.26,3.60,6.20,3.16,16.28,1.47,13.05,4.71
20,IFNAR1-/-,12,IFNL+/IAV+,5909.76,44.83,35.03,5.18,3.99,2.68,2.77,27.87,6.05,9.55,9.27
21,IFNAR1-/-,12,IFNL+/IAV+,5794.16,33.81,44.83,17.78,4.60,8.09,2.21,27.46,2.97,21.70,16.56
22,IFNAR1-/-,12,IFNL+/IAV-,79.49,52.49,3.51,164.76,139.66,29.69,18.78,210.96,277.89,61.33,327.85
23,IFNAR1-/-,12,IFNL+/IAV-,22.55,27.97,0.94,197.58,163.44,7.98,23.12,224.46,283.09,66.07,411.49
24,IFNAR1-/-,12,IFNL+/IAV-,7.56,75.45,1.81,103.00,90.77,2.75,11.74,130.90,212.85,52.34,244.99
25,IFNLR1-/-,12,IFNB+/IAV+,503.73,88.80,36.53,8.47,3.82,4.19,1.62,3.58,1.05,1.49,3.26
26,IFNLR1-/-,12,IFNB+/IAV+,492.25,23.20,33.24,4.34,3.63,1.72,2.15,4.29,1.08,1.05,1.34
27,IFNLR1-/-,12,IFNB+/IAV+,628.03,93.80,32.04,2.56,4.85,3.03,1.62,2.14,1.87,3.27,0.54
28,IFNLR1-/-,12,IFNB+/IAV-,33.01,14.64,0.93,30.27,30.58,1.70,1.85,39.91,93.83,1.43,91.49
29,IFNLR1-/-,12,IFNB+/IAV-,23.67,14.03,0.59,20.46,25.56,1.65,1.13,25.06,58.37,1.00,63.13
30,IFNLR1-/-,12,IFNB+/IAV-,46.54,66.29,2.63,1.07,0.91,1.12,1.55,14.60,2.04,9.59,1.47
31,IFNLR1-/-,12,IFNL+/IAV+,28345.88,34.54,34.18,1.59,2.20,1.95,3.14,13.20,2.19,10.33,2.13
32,IFNLR1-/-,12,IFNL+/IAV+,25074.43,44.06,28.69,1.94,1.49,1.52,1.91,11.12,1.47,5.95,1.62
33,IFNLR1-/-,12,IFNL+/IAV+,23245.25,67.41,29.80,58.69,50.91,10.48,4.47,42.26,110.94,2.98,167.85
34,IFNLR1-/-,12,IFNL+/IAV-,22.61,14.82,0.15,91.43,62.68,3.01,64.36,431.11,306.94,390.93,173.70
35,IFNLR1-/-,12,IFNL+/IAV-,93.96,10.79,0.11,121.48,111.49,4.39,82.78,613.23,439.69,453.80,276.00
36,IFNLR1-/-,12,IFNL+/IAV-,6.20,13.67,0.40,74.28,64.07,2.30,53.68,343.40,260.64,317.78,161.84
37,Wildtype,12,IFN-/IAV+,22285.38,95.60,41.11,2.89,1.87,1.20,5.46,33.31,5.13,25.95,8.09
38,Wildtype,12,IFN-/IAV+,23089.24,87.57,35.13,0.83,1.37,1.20,0.21,1.23,0.30,2.03,0.58
39,Wildtype,12,IFN-/IAV+,25546.62,50.10,32.90,3.39,3.87,3.51,5.24,37.11,3.60,36.43,4.33
40,Wildtype,12,IFN-/IAV-,14.82,25.83,1.18,60.06,36.76,2.09,72.75,428.46,291.58,465.21,89.35
41,Wildtype,12,IFN-/IAV-,4.07,53.84,0.34,155.33,80.57,3.25,99.45,730.36,409.81,890.34,145.84
42,Wildtype,12,IFN-/IAV-,7.29,36.99,1.53,101.34,71.17,3.12,84.29,805.78,358.61,951.02,117.33
43,IFNAR1-/-,12,IFN-/IAV+,28292.79,42.67,5.41,4.29,2.69,3.16,3.56,5.38,5.38,3.82,1.34
44,IFNAR1-/-,12,IFN-/IAV+,26506.36,41.84,6.34,3.50,4.05,3.95,5.19,5.94,4.31,2.84,1.42
45,IFNAR1-/-,12,IFN-/IAV+,25786.16,31.06,6.79,2.29,3.42,1.61,3.71,3.19,3.48,1.46,1.88
46,IFNAR1-/-,12,IFN-/IAV-,3.19,30.47,1.49,118.48,315.93,6.76,204.18,947.39,1880.78,261.81,162.82
47,IFNAR1-/-,12,IFN-/IAV-,2.68,10.82,0.20,73.42,156.97,6.60,123.30,579.98,1024.38,138.17,68.61
48,IFNAR1-/-,12,IFN-/IAV-,1.23,17.21,0.73,95.19,179.69,7.72,146.90,643.33,1252.09,236.88,114.15
49,IFNLR1-/-,12,IFN-/IAV+,31779.99,146.56,53.66,3.56,3.07,1.38,7.43,8.10,3.41,1.97,2.12
50,IFNLR1-/-,12,IFN-/IAV+,38996.56,62.35,35.29,4.48,3.02,2.39,10.55,12.24,4.93,2.76,1.96
51,IFNLR1-/-,12,IFN-/IAV+,22421.99,38.43,39.23,4.94,3.63,2.58,6.74,8.09,5.82,2.83,1.75
52,IFNLR1-/-,12,IFN-/IAV-,3.52,25.46,0.69,25.98,36.70,2.47,15.45,58.06,110.91,5.38,97.84
53,IFNLR1-/-,12,IFN-/IAV-,5.98,15.54,0.31,13.90,22.56,1.72,8.10,33.23,47.27,2.79,51.70
54,IFNLR1-/-,12,IFN-/IAV-,0.58,24.26,0.53,16.06,23.49,1.56,10.24,50.98,54.04,3.03,60.54
55,Wildtype,24,IFNB+/IAV+,795.66,34.73,55.01,8.27,7.16,4.79,6.76,11.13,9.22,6.99,5.37
56,Wildtype,24,IFNB+/IAV+,1009.98,32.53,76.02,6.46,6.54,4.40,14.90,13.71,9.74,13.43,5.60
57,Wildtype,24,IFNB+/IAV+,895.43,34.88,69.95,18.07,8.31,7.07,33.27,51.67,26.83,40.23,8.21
58,Wildtype,24,IFNB+/IAV-,3.53,60.53,3.46,971.39,1691.48,57.82,1847.33,5696.33,14059.68,2512.89,1413.83
59,Wildtype,24,IFNB+/IAV-,36.76,362.25,37.09,19334.47,32879.44,1184.74,29710.43,100315.79,250476.90,37930.75,22294.08
60,Wildtype,24,IFNB+/IAV-,3.66,44.73,1.30,462.77,824.63,41.74,882.62,3125.85,5328.04,991.96,563.89
61,Wildtype,24,IFNL+/IAV+,6966.22,54.67,115.45,20.89,13.77,17.01,33.41,17.54,35.67,15.30,11.63
62,Wildtype,24,IFNL+/IAV+,4842.49,56.94,94.14,17.03,12.35,7.99,30.24,23.88,33.10,13.00,12.19
63,Wildtype,24,IFNL+/IAV+,3448.17,46.01,65.52,8.11,6.42,4.47,15.51,14.55,14.62,10.86,4.14
64,Wildtype,24,IFNL+/IAV-,109656.84,154.76,25.91,687.83,1259.10,41.05,1269.18,4023.60,8618.79,1065.94,1156.16
65,Wildtype,24,IFNL+/IAV-,110.65,126.01,6.30,687.77,958.35,1333.16,1115.91,3033.24,6576.33,908.58,1158.06
66,Wildtype,24,IFNL+/IAV-,531.45,92.43,11.65,825.20,1055.76,2160.43,953.76,3418.00,5445.73,1025.71,980.70
67,IFNAR1-/-,24,IFNB+/IAV+,97.21,156.47,7.97,1708.09,731.11,2036.51,328.34,1585.78,210.84,2569.30,1302.74
68,IFNAR1-/-,24,IFNB+/IAV+,89784.55,199.87,48.84,199.69,371.25,482.61,214.56,1489.21,158.47,2075.56,535.70
69,IFNAR1-/-,24,IFNB+/IAV+,91069.83,191.72,40.70,659.41,82.34,851.88,422.25,1492.07,87.89,1480.24,428.97
70,IFNAR1-/-,24,IFNB+/IAV-,121.59,157.10,6.48,575.06,428.91,873.78,650.52,2303.88,3100.44,1787.90,429.97
71,IFNAR1-/-,24,IFNB+/IAV-,367.07,447.45,16.02,1029.88,674.92,1289.51,1027.34,3777.88,4798.32,2917.21,512.87
72,IFNAR1-/-,24,IFNB+/IAV-,317.50,295.88,30.68,1471.00,822.28,1840.29,1387.96,4360.15,5770.01,4828.19,958.26
73,IFNAR1-/-,24,IFNL+/IAV+,24431.20,193.78,131.98,208.66,144.00,218.72,89.82,757.54,25.91,458.17,478.34
74,IFNAR1-/-,24,IFNL+/IAV+,21041.46,221.85,99.44,111.69,46.58,92.75,47.97,512.81,28.00,471.85,38.82
75,IFNAR1-/-,24,IFNL+/IAV+,16714.96,129.27,93.75,721.18,269.22,609.22,99.41,578.44,101.95,465.89,305.65
76,IFNAR1-/-,24,IFNL+/IAV-,382.30,117.67,7.71,430.45,516.81,184.21,130.68,651.69,472.11,317.56,551.22
77,IFNAR1-/-,24,IFNL+/IAV-,540.68,656.30,3.98,313.55,344.16,184.47,102.80,694.95,651.63,181.80,378.50
78,IFNAR1-/-,24,IFNL+/IAV-,134.27,137.93,8.17,429.92,516.04,402.19,128.71,650.08,806.67,350.58,803.88
79,IFNLR1-/-,24,IFNB+/IAV+,1076.66,115.26,67.85,96.12,26.65,76.71,31.46,21.32,14.47,10.86,54.39
80,IFNLR1-/-,24,IFNB+/IAV+,845.15,136.67,76.98,440.85,65.87,705.43,55.48,138.03,33.54,81.87,516.73
81,IFNLR1-/-,24,IFNB+/IAV+,1272.16,75.70,96.80,127.61,27.46,27.90,30.32,36.22,19.42,29.91,307.81
82,IFNLR1-/-,24,IFNB+/IAV-,94.89,129.43,8.60,143.83,158.24,473.55,96.31,226.03,282.38,56.47,571.89
83,IFNLR1-/-,24,IFNB+/IAV-,123.91,31.31,4.79,463.64,236.35,296.30,173.27,194.85,298.11,66.23,619.33
84,IFNLR1-/-,24,IFNB+/IAV-,68.88,73.22,5.67,65.17,90.89,46.13,27.43,137.59,186.14,24.49,283.42
85,IFNLR1-/-,24,IFNL+/IAV+,61603.50,124.72,158.41,29.66,38.07,102.57,87.05,493.72,33.67,461.77,82.35
86,IFNLR1-/-,24,IFNL+/IAV+,55344.82,199.74,155.13,43.58,26.77,77.62,78.11,505.57,47.70,498.92,38.13
87,IFNLR1-/-,24,IFNL+/IAV+,49971.50,224.12,179.99,93.46,31.71,59.60,59.98,414.93,23.56,469.02,44.30
