Number,Cell Type,Timepoint,Treatment,M,IFNA,IFNb,IL29,Il28a,MXA,RIGI,ISG15,IFIT2,IFITM1,Rantes
1,Wildtype,12,IFNB+/IAV+,1344.83,198.13,71.39,163.1063346,48.93970759,1022.334943,2.81,1475.781749,1805.648105,3.67,7.65
2,Wildtype,12,IFNB+/IAV+,1401.34,205.66,81.83,105.2634663,50.99693923,639.2046033,6.95,1186.609759,1455.276364,5.44,14.29
3,Wildtype,12,IFNB+/IAV+,1306.73,156.77,81.35,118.044417,46.57074823,922.3925047,4.63,1354.213785,2269.667441,18.67,37.66
4,Wildtype,12,IFNB+/IAV-,47.99,23.66,0.91,0.250239795,NA,NA,23.94,294.5326533,NA,214.66,236.4
5,Wildtype,12,IFNB+/IAV-,194,166.72,8.45,2.498195866,0.790506559,47.59075717,15.02,212.5375303,8.604457976,103.23,260.99
6,Wildtype,12,IFNB+/IAV-,472.62,264.82,27.57,3.985661302,3.610721372,53.90402079,18.08,190.6052132,12.1034028,91.12,140.42
7,Wildtype,12,IFNL+/IAV+,4987.67,167.48,114.22,183.1791837,63.27446299,685.7017737,6.47,904.0594428,1717.801117,9.59,85.65
8,Wildtype,12,IFNL+/IAV+,6470.41,53.64,63.77,200.0316324,93.8424574,932.1322699,3.97,1260.744731,1699.710588,16.86,37.26
9,Wildtype,12,IFNL+/IAV+,5625.38,237.77,80.85,182.4542845,100.386426,797.4645149,2.46,1120.136909,1872.449691,3.27,1.77
10,Wildtype,12,IFNL+/IAV-,50.59,92.22,1.61,1.932043229,0.211176928,13.25388182,39.49,76.72799877,5.33503415,252.5,295.26
11,Wildtype,12,IFNL+/IAV-,57.02,96.12,1.58,1.326376379,0.141563203,14.44370842,27.54,79.02373398,3.531300818,153.38,269.42
12,Wildtype,12,IFNL+/IAV-,61.68,94.85,2.78,1.598229958,0.128278383,16.41144928,36.92,118.437071,7.103120015,282.31,488.51
13,IFNAR1-/-,12,IFNB+/IAV+,24467.53,57.92,11.69,10.49780411,7.751234532,12.05853411,9.26,35.80953331,52.60186497,47.46,13.44
14,IFNAR1-/-,12,IFNB+/IAV+,15171.42,189.52,51.1,13.25297988,10.79971075,12.98848064,9.31,42.80739114,51.94875274,43.5,32.21
15,IFNAR1-/-,12,IFNB+/IAV+,22455.83,128.21,6.92,10.05510495,5.40101358,16.619723,5.1,43.91503503,59.43474638,26.9,9.22
16,IFNAR1-/-,12,IFNB+/IAV-,114.73,161.6,4.84,1.331612424,0.232393839,1.691223679,59.67,6.252208793,1.856133133,591.65,93.93
17,IFNAR1-/-,12,IFNB+/IAV-,40.7,115.64,2.56,1.719858656,0.105510296,1.67202009,73.82,9.628374212,2.991896558,590.83,103.34
18,IFNAR1-/-,12,IFNB+/IAV-,34.58,37.77,1.58,1.435499032,0.056580255,1.585072899,64.91,7.128685215,2.529695267,652.13,91.07
19,IFNAR1-/-,12,IFNL+/IAV+,7581.47,20.07,40.22,60.76644615,29.77122806,51.15321707,3.16,171.1377356,119.7654546,13.05,4.71
20,IFNAR1-/-,12,IFNL+/IAV+,5909.76,44.83,35.03,65.86669651,41.47679181,70.1442844,2.77,229.1110253,144.8209864,9.55,9.27
